loan_id,obligor_name,industry,country,seniority,rating,rating_factor,par_balance,market_price,spread_bps,benchmark_rate,coupon_rate,maturity_date,remaining_life_years,recovery_rate,default_status,ccc_flag,watchlist_flag,collateral_haircut_pct,annual_interest_income
PG26-036,Ironwood Services 035,Consumer Products,United States,First Lien,B,350,3238381,96.01,400,0.0425,0.0825,2032-11-30,6.9,0.68,False,False,False,0.0,267166.43
PG26-037,Riverton Components 036,Food & Beverage,United States,First Lien,B,350,2572657,101,625,0.0425,0.105,2032-12-30,7.0,0.68,False,False,False,0.0,270128.98
PG26-038,Delta Labs 037,Software,United States,First Lien,B,350,2716102,99.72,450,0.0425,0.0875,2033-01-29,7.1,0.68,False,False,False,0.0,237658.92
PG26-039,Horizon Services 038,Aerospace,United States,First Lien,B-,500,2731656,100.54,600,0.0425,0.1025,2033-02-28,7.2,0.68,False,False,False,0.0,279994.74
PG26-040,Juniper Manufacturing 039,Financial Services,United States,Second Lien,B,350,2788996,82.0,650,0.0425,0.1075,2033-03-30,7.3,0.48,False,False,True,0.063,299817.07
PG26-041,Liberty Services 040,Transportation,United States,First Lien,B-,500,2896067,96.2,575,0.0425,0.1,2033-04-29,3.4,0.68,False,False,False,0.0,289606.7
PG26-042,Willow Aviation 041,Energy Services,United States,First Lien,B+,250,2999200,101,600,0.0425,0.1025,2033-05-29,3.5,0.68,False,False,False,0.0,307418.0
PG26-043,Vector Foods 042,Healthcare,United States,First Lien,B,350,3109422,96.88,400,0.0425,0.0825,2033-06-28,3.6,0.68,False,False,False,0.0,256527.32
PG26-044,Delta Software 043,Technology,United States,Second Lien,B-,500,3195291,98.86,475,0.0425,0.09,2033-07-28,3.7,0.48,False,False,False,0.0,287576.19
PG26-045,Orchard Chemicals 044,Telecom,United States,First Lien,CCC+,900,3292229,93.81,550,0.0425,0.0975,2033-08-27,3.8,0.6,False,True,False,0.0,320992.33
PG26-046,Vector Labs 045,Packaging,United States,Second Lien,B,350,2544174,95.36,550,0.0425,0.0975,2033-09-26,3.9,0.48,False,False,False,0.0,248056.96
PG26-047,Liberty Software 046,Industrial,United States,First Lien,B+,250,2630878,95.39,400,0.0425,0.0825,2033-10-26,4.0,0.68,False,False,False,0.0,217047.43
PG26-048,Juniper Distribution 047,Business Services,United States,First Lien,B-,500,2806307,101,425,0.0425,0.085,2033-11-25,4.1,0.68,False,False,False,0.0,238536.1
PG26-049,Monarch Services 048,Chemicals,United States,First Lien,CCC+,900,2791770,89.12,400,0.0425,0.0825,2033-12-25,4.2,0.6,False,True,False,0.0381,230321.03
PG26-050,Zenith Software 049,Consumer Products,United States,First Lien,B,350,2865075,99.43,500,0.0425,0.0925,2034-01-24,4.3,0.68,False,False,False,0.0,265019.44
PG26-051,Pioneer Services 050,Food & Beverage,United States,First Lien,B,350,2953135,98.98,450,0.0425,0.0875,2034-02-23,4.4,0.68,False,False,False,0.0,258399.31
PG26-052,Monarch Manufacturing 051,Software,United States,First Lien,B,350,3053606,95.12,600,0.0425,0.1025,2034-03-25,4.5,0.68,False,False,False,0.0,312994.61
PG26-053,York Distribution 052,Aerospace,United States,First Lien,B-,500,3146871,96.97,550,0.0425,0.0975,2034-04-24,4.6,0.68,False,False,False,0.0,306819.92
PG26-054,Monarch Networks 053,Financial Services,United States,First Lien,B,350,3247599,95.58,400,0.0425,0.0825,2034-05-24,4.7,0.68,False,False,False,0.0,267926.92
PG26-055,Pioneer Software 054,Transportation,United States,First Lien,B-,500,2557150,99.33,450,0.0425,0.0875,2030-01-15,4.8,0.68,False,False,False,0.0,223750.62
PG26-056,Zenith Networks 055,Energy Services,United States,First Lien,B,350,2625218,92.89,575,0.0425,0.1,2030-02-14,4.9,0.68,False,False,False,0.0,262521.8
PG26-057,Trident Logistics 056,Healthcare,United States,First Lien,B-,500,2745406,97.48,550,0.0425,0.0975,2030-03-16,5.0,0.68,False,False,False,0.0,267677.09
PG26-058,Willow Chemicals 057,Technology,United States,Second Lien,B-,500,2804990,101,450,0.0425,0.0875,2030-04-15,5.1,0.48,False,False,False,0.0,245436.62
PG26-059,Nova Components 058,Telecom,United States,First Lien,B+,250,2939790,92.62,525,0.0425,0.095,2030-05-15,5.2,0.68,False,False,False,0.0,279280.05
PG26-060,Trident Manufacturing 059,Packaging,United States,First Lien,B-,500,3029147,92.42,500,0.0425,0.0925,2030-06-14,5.3,0.68,False,False,False,0.0,280196.1
PG26-061,Vector Labs 060,Industrial,United States,First Lien,B-,500,3062228,101,550,0.0425,0.0975,2030-07-14,5.4,0.68,False,False,False,0.0,298567.23
PG26-062,Pioneer Distribution 061,Business Services,United States,Second Lien,B,350,3173535,94.52,475,0.0425,0.09,2030-08-13,5.5,0.48,False,False,False,0.0,285618.15
PG26-063,Ironwood Logistics 062,Chemicals,United States,First Lien,B,350,3295314,96.65,600,0.0425,0.1025,2030-09-12,5.6,0.68,False,False,False,0.0,337769.68
PG26-064,Frontier Manufacturing 063,Consumer Products,United States,Second Lien,B+,250,2558948,96.97,525,0.0425,0.095,2030-10-12,5.7,0.48,False,False,False,0.0,243100.06
PG26-065,Riverton Manufacturing 064,Food & Beverage,United States,Second Lien,B,350,2681042,82.41,525,0.0425,0.095,2030-11-11,5.8,0.48,False,False,True,0.0616,254698.99
PG26-066,Vector Networks 065,Software,United States,First Lien,B+,250,2723722,101,450,0.0425,0.0875,2030-12-11,5.9,0.68,False,False,False,0.0,238325.67
PG26-067,Frontier Medical 066,Aerospace,United States,First Lien,B,350,2833131,96.89,475,0.0425,0.09,2031-01-10,6.0,0.68,False,False,False,0.0,254981.79
PG26-068,Vector Aviation 067,Financial Services,United States,First Lien,B,350,2928672,96.88,450,0.0425,0.0875,2031-02-09,6.1,0.68,False,False,False,0.0,256258.8
PG26-069,Granite Software 068,Transportation,United States,First Lien,CCC,1200,3049106,91.97,500,0.0425,0.0925,2031-03-11,6.2,0.6,False,True,True,0.0,282042.3
PG26-070,Evergreen Software 069,Energy Services,United States,First Lien,B,350,3038716,91.43,400,0.0425,0.0825,2031-04-10,6.3,0.68,False,False,False,0.0,250694.07
PG26-071,Zenith Components 070,Healthcare,United States,Second Lien,B+,250,3200370,89.39,625,0.0425,0.105,2031-05-10,6.4,0.48,False,False,False,0.0371,336038.85
PG26-072,Cobalt Components 071,Technology,United States,First Lien,B-,500,3299759,91.14,425,0.0425,0.085,2031-06-09,6.5,0.68,False,False,False,0.0,280479.52
PG26-073,Horizon Chemicals 072,Telecom,United States,First Lien,B,350,2561920,92.28,600,0.0425,0.1025,2031-07-09,6.6,0.68,False,False,False,0.0,262596.8
PG26-074,Trident Foods 073,Packaging,United States,Second Lien,B-,500,2707863,94.56,675,0.0425,0.11,2031-08-08,6.7,0.48,False,False,False,0.0,297864.93
PG26-075,Pioneer Software 074,Industrial,United States,First Lien,B-,500,2729746,99.39,500,0.0425,0.0925,2031-09-07,6.8,0.68,False,False,False,0.0,252501.51
PG26-076,Nova Networks 075,Business Services,United States,First Lien,B,350,2893641,96.83,375,0.0425,0.08,2031-10-07,6.9,0.68,False,False,False,0.0,231491.28
PG26-077,Kodiak Chemicals 076,Chemicals,United States,First Lien,B-,500,2866204,100.94,550,0.0425,0.0975,2031-11-06,7.0,0.68,False,False,False,0.0,279454.89
PG26-078,Pioneer Networks 077,Consumer Products,United States,First Lien,CCC+,900,2945660,90.97,550,0.0425,0.0975,2031-12-06,7.1,0.6,False,True,False,0.0,287201.85
PG26-079,Granite Aviation 078,Food & Beverage,United States,First Lien,B,350,3036891,94.25,475,0.0425,0.09,2032-01-05,7.2,0.68,False,False,False,0.0,273320.19
PG26-080,Pioneer Holdings 079,Software,United States,First Lien,B,350,3202557,95.93,575,0.0425,0.1,2032-02-04,7.3,0.68,False,False,False,0.0,320255.7
PG26-081,Zenith Software 080,Aerospace,United States,Second Lien,B+,250,3185331,101,450,0.0425,0.0875,2032-03-05,3.4,0.48,False,False,False,0.0,278716.46
PG26-082,Sterling Holdings 081,Financial Services,United States,First Lien,B,350,2633390,93.84,525,0.0425,0.095,2032-04-04,3.5,0.68,False,False,False,0.0,250172.05
PG26-083,Liberty Advisory 082,Transportation,United States,Second Lien,B,350,2646683,94.0,650,0.0425,0.1075,2032-05-04,3.6,0.48,False,False,False,0.0,284518.42
PG26-084,Union Chemicals 083,Energy Services,United States,First Lien,CCC,1200,2764382,89.9,425,0.0425,0.085,2032-06-03,3.7,0.6,False,True,True,0.0353,234972.47
PG26-085,Frontier Aviation 084,Healthcare,United States,First Lien,B,350,2843033,99.45,475,0.0425,0.09,2032-07-03,3.8,0.68,False,False,False,0.0,255872.97
PG26-086,Kodiak Manufacturing 085,Technology,United States,First Lien,B,350,2903132,98.66,550,0.0425,0.0975,2032-08-02,3.9,0.68,False,False,False,0.0,283055.37
PG26-087,Nova Advisory 086,Telecom,United States,Second Lien,CCC,1200,2948740,92.98,600,0.0425,0.1025,2032-09-01,4.0,0.4,False,True,True,0.0,302245.85
PG26-088,Apex Foods 087,Packaging,United States,First Lien,B-,500,3039575,97.4,500,0.0425,0.0925,2032-10-01,4.1,0.68,False,False,False,0.0,281160.69
PG26-089,Horizon Components 088,Industrial,United States,First Lien,B-,500,3111127,85.23,625,0.0425,0.105,2032-10-31,4.2,0.68,False,False,True,0.0517,326668.33
PG26-090,Ironwood Advisory 089,Business Services,United States,First Lien,B-,500,3285928,95.71,525,0.0425,0.095,2032-11-30,4.3,0.68,False,False,False,0.0,312163.16
PG26-091,Sterling Logistics 090,Chemicals,United States,Second Lien,B-,500,2547593,92.94,675,0.0425,0.11,2032-12-30,4.4,0.48,False,False,False,0.0,280235.23
PG26-092,Apex Components 091,Consumer Products,United States,Second Lien,B+,250,2632362,100.99,475,0.0425,0.09,2033-01-29,4.5,0.48,False,False,False,0.0,236912.58
PG26-093,Quasar Holdings 092,Food & Beverage,United States,First Lien,B-,500,2733933,100.64,400,0.0425,0.0825,2033-02-28,4.6,0.68,False,False,False,0.0,225549.47
PG26-094,Cobalt Holdings 093,Software,United States,First Lien,B,350,2795887,96.04,600,0.0425,0.1025,2033-03-30,4.7,0.68,False,False,False,0.0,286578.42
PG26-095,Orchard Advisory 094,Aerospace,United States,Second Lien,BB-,150,2931958,94.03,675,0.0425,0.11,2033-04-29,4.8,0.48,False,False,False,0.0,322515.38
PG26-096,Beacon Foods 095,Financial Services,United States,First Lien,B-,500,2998609,97.72,475,0.0425,0.09,2033-05-29,4.9,0.68,False,False,False,0.0,269874.81
PG26-097,Evergreen Medical 096,Transportation,United States,First Lien,B,350,3097609,95.45,400,0.0425,0.0825,2033-06-28,5.0,0.68,False,False,False,0.0,255552.74
PG26-098,Horizon Advisory 097,Energy Services,United States,First Lien,B+,250,3142086,100.07,625,0.0425,0.105,2033-07-28,5.1,0.68,False,False,False,0.0,329919.03
PG26-099,Union Chemicals 098,Healthcare,United States,First Lien,B-,500,3228993,96.74,600,0.0425,0.1025,2033-08-27,5.2,0.68,False,False,False,0.0,330971.78
PG26-100,Frontier Logistics 099,Technology,United States,First Lien,B+,250,2593613,93.17,425,0.0425,0.085,2033-09-26,5.3,0.68,False,False,False,0.0,220457.11
PG26-101,Quasar Manufacturing 100,Telecom,United States,First Lien,B-,500,2707984,97.24,575,0.0425,0.1,2033-10-26,5.4,0.68,False,False,False,0.0,270798.4
PG26-102,Sterling Labs 101,Packaging,United States,First Lien,B+,250,2761925,99.96,550,0.0425,0.0975,2033-11-25,5.5,0.68,False,False,False,0.0,269287.69
PG26-103,Quasar Holdings 102,Industrial,United States,First Lien,B,350,2811717,89.34,450,0.0425,0.0875,2033-12-25,5.6,0.68,False,False,False,0.0373,246025.24
PG26-104,Quasar Components 103,Business Services,United States,First Lien,B,350,2865149,94.36,625,0.0425,0.105,2034-01-24,5.7,0.68,False,False,False,0.0,300840.64
PG26-105,Apex Labs 104,Chemicals,United States,First Lien,B,350,3002023,95.25,575,0.0425,0.1,2034-02-23,5.8,0.68,False,False,False,0.0,300202.3
PG26-106,Zenith Manufacturing 105,Consumer Products,United States,Second Lien,B-,500,3083415,95.21,475,0.0425,0.09,2034-03-25,5.9,0.48,False,False,False,0.0,277507.35
PG26-107,Kodiak Holdings 106,Food & Beverage,United States,First Lien,B-,500,3207960,95.4,425,0.0425,0.085,2034-04-24,6.0,0.68,False,False,False,0.0,272676.6
PG26-108,Horizon Labs 107,Software,United States,First Lien,B-,500,3251161,100.75,625,0.0425,0.105,2034-05-24,6.1,0.68,False,False,False,0.0,341371.9
PG26-109,Juniper Manufacturing 108,Aerospace,United States,First Lien,CCC,1200,2657315,95.84,525,0.0425,0.095,2030-01-15,6.2,0.6,False,True,True,0.0,252444.93
PG26-110,Evergreen Distribution 109,Financial Services,United States,First Lien,B-,500,2640295,100.69,450,0.0425,0.0875,2030-02-14,6.3,0.68,False,False,False,0.0,231025.81
PG26-111,Orchard Networks 110,Transportation,United States,First Lien,B-,500,2806871,101,500,0.0425,0.0925,2030-03-16,6.4,0.68,False,False,False,0.0,259635.57
PG26-112,Union Logistics 111,Energy Services,United States,First Lien,B-,500,2819284,79.09,625,0.0425,0.105,2030-04-15,6.5,0.68,False,False,True,0.0732,296024.82
PG26-113,Pioneer Software 112,Healthcare,United States,First Lien,B-,500,2863260,96.79,425,0.0425,0.085,2030-05-15,6.6,0.68,False,False,False,0.0,243377.1
PG26-114,Vector Foods 113,Technology,United States,First Lien,B-,500,2977013,95.79,425,0.0425,0.085,2030-06-14,6.7,0.68,False,False,False,0.0,253046.11
PG26-115,Vector Chemicals 114,Telecom,United States,First Lien,B-,500,3022485,99.76,400,0.0425,0.0825,2030-07-14,6.8,0.68,False,False,False,0.0,249355.01
PG26-116,Ironwood Chemicals 115,Packaging,United States,First Lien,B-,500,3110538,97.26,600,0.0425,0.1025,2030-08-13,6.9,0.68,False,False,False,0.0,318830.14
PG26-117,Horizon Distribution 116,Industrial,United States,First Lien,CCC+,900,3215189,89.85,525,0.0425,0.095,2030-09-12,7.0,0.6,False,True,False,0.0355,305442.96
PG26-118,Delta Advisory 117,Business Services,United States,First Lien,B-,500,2574412,101,450,0.0425,0.0875,2030-10-12,7.1,0.68,False,False,False,0.0,225261.05
PG26-119,Beacon Components 118,Chemicals,United States,First Lien,B-,500,2646966,95.8,600,0.0425,0.1025,2030-11-11,7.2,0.68,False,False,False,0.0,271314.01
PG26-120,Riverton Medical 119,Consumer Products,United States,Second Lien,B+,250,2737436,97.78,575,0.0425,0.1,2030-12-11,7.3,0.48,False,False,True,0.0,273743.6
PG26-121,Sterling Chemicals 120,Food & Beverage,United States,First Lien,CCC,1200,2863853,96.55,525,0.0425,0.095,2031-01-10,3.4,0.6,False,True,True,0.0,272066.03
PG26-122,Kodiak Networks 121,Software,United States,First Lien,B-,500,2960755,92.68,400,0.0425,0.0825,2031-02-09,3.5,0.68,False,False,False,0.0,244262.29
PG26-123,Liberty Labs 122,Aerospace,United States,Second Lien,B,350,2963046,95.67,475,0.0425,0.09,2031-03-11,3.6,0.48,False,False,False,0.0,266674.14
PG26-124,Apex Labs 123,Financial Services,United States,First Lien,B-,500,3049560,93.57,625,0.0425,0.105,2031-04-10,3.7,0.68,False,False,False,0.0,320203.8
PG26-125,Ironwood Logistics 124,Transportation,United States,First Lien,B,350,3119819,94.52,375,0.0425,0.08,2031-05-10,3.8,0.68,False,False,False,0.0,249585.52
